Clock,"Jun 06, 2010",6.36,Yu Sajima (佐島優),Japan,Kawasaki Open 2010
Clock,"Mar 27, 2010",6.90,Taki Sugimoto (杉本太暉),Japan,Japan Open 2010
Clock,"Nov 21, 2009",6.93,Olivér Perge,Hungary,Bristol Open 2009
Clock,"May 02, 2009",7.08,David Woner,United States,Carnegie Mellon Spring 2009
Clock,"Jul 14, 2007",7.69,Mátyás Kuti,Hungary,Czech Open 2007
Clock,"Nov 05, 2005",8.39,Stefan Pochmann,Germany,Rubik's World Championship 2005
Clock,"Oct 10, 2004",9.05,Stefan Pochmann,Germany,Dutch Open 2004
Clock,"Apr 24, 2004",9.54,Stefan Pochmann,Germany,German Open 2004
Clock,"Aug 23, 2003",38.97,Jaap Scherphuis,Netherlands,World Rubik's Games Championship 2003
Megaminx,"Dec 21, 2019",27.22,Juan Pablo Huanqui,Peru,La Tienda Cubera Christmas 2019
Megaminx,"Jul 27, 2018",27.81,Juan Pablo Huanqui,Peru,CubingUSA Nationals 2018
Megaminx,"Jul 19, 2018",29.49,Juan Pablo Huanqui,Peru,WCA European Championship 2018
Megaminx,"Jun 10, 2017",29.93,Juan Pablo Huanqui,Peru,Latin America Cubing Tour - Santiago 2017
Megaminx,"May 21, 2017",31.53,Juan Pablo Huanqui,Peru,Rubik Pro 2017
Megaminx,"Dec 11, 2016",33.17,Yu Da-Hyun (유다현),Republic of Korea,Busan Winter 2016
Megaminx,"Oct 29, 2016",34.40,Juan Pablo Huanqui,Peru,Torneo de Speedcubers 2016
Megaminx,"Aug 27, 2016",35.18,Juan Pablo Huanqui,Peru,Lima Rubik 2016
Megaminx,"Jul 29, 2016",35.50,Juan Pablo Huanqui,Peru,US Nationals 2016
Megaminx,"May 21, 2016",35.94,Nicolas Naing,United States,Big Apple Spring 2016
Megaminx,"Apr 11, 2015",37.58,Yu Da-Hyun (유다현),Republic of Korea,Spring Comes 2015
Megaminx,"Nov 01, 2014",37.83,Yu Da-Hyun (유다현),Republic of Korea,Asian Championship 2014
Megaminx,"Aug 08, 2014",39.57,Louis Cormier,Canada,Rubik's Cube European Championships 2014
Megaminx,"Apr 22, 2011",42.28,Simon Westlund,Sweden,Danish Open 2011
Megaminx,"Jan 22, 2011",46.81,Simon Westlund,Sweden,Helsinki Open 2011
Megaminx,"Oct 01, 2010",47.53,Bálint Bodor,Hungary,European Rubik's Cube Championship 2010
Megaminx,"Apr 24, 2010",49.71,Bálint Bodor,Hungary,Slovenian Open 2010
Megaminx,"Oct 09, 2009",57.94,Bálint Bodor,Hungary,World Rubik's Cube Championship 2009
Megaminx,"Jan 12, 2009",59.33,Takumi Yoshida (吉田匠),Japan,Amagasaki Open 2009
Megaminx,"Feb 02, 2008",1:01.78,Erik Akkersdijk,Netherlands,Belgian Open 2008
Megaminx,"Dec 15, 2007",1:12.59,Erik Akkersdijk,Netherlands,Swedish Cube Day competition 2007
Megaminx,"Oct 13, 2007",1:14.90,Erik Akkersdijk,Netherlands,Dutch Open 2007
Megaminx,"Oct 05, 2007",1:17.46,Erik Akkersdijk,Netherlands,World Rubik's Cube Championship 2007
Megaminx,"Oct 14, 2006",1:23.55,Stefan Pochmann,Germany,Dutch Open 2006
Megaminx,"Sep 23, 2006",1:29.05,Stefan Pochmann,Germany,European Rubik's Cube Championship 2006
Megaminx,"Apr 21, 2006",1:32.30,Stefan Pochmann,Germany,German Open 2006
Megaminx,"Nov 05, 2005",1:41.82,Stefan Pochmann,Germany,Rubik's World Championship 2005
Megaminx,"Apr 23, 2005",1:55.34,Stefan Pochmann,Germany,German Open 2005
Megaminx,"Aug 23, 2003",2:12.82,Grant Tregay,United States,World Rubik's Games Championship 2003
Pyraminx,"Jun 23, 2018",0.91,Dominik Górny,Poland,Byczy Cube Race 2018
Pyraminx,"Jun 02, 2018",1.10,Yulun Wu (吴宇伦),China,Lishui University Open 2018
Pyraminx,"Apr 21, 2018",1.19,Dominik Górny,Poland,LLS IV 2018
Pyraminx,"Jan 13, 2018",1.20,Tymon Kolasiński,Poland,Speed Days Kraśnik 2018
Pyraminx,"Jun 17, 2017",1.28,Benjamin Kyle,Canada,Newmarket Open 2017
Pyraminx,"Oct 24, 2015",1.32,Drew Brads,United States,Lexington Fall 2015
Pyraminx,"Mar 30, 2013",1.36,Oscar Roth Andersen,Denmark,Danish Special 2013
Pyraminx,"Apr 14, 2012",1.61,Brúnó Bereczki,Hungary,Slovenian Open 2012
Pyraminx,"Jul 30, 2011",1.93,Yohei Oka (岡要平),Japan,Japan Open 2011
Pyraminx,"Apr 02, 2011",2.36,Oscar Roth Andersen,Denmark,Vejstrup Open 2011
Pyraminx,"Jan 29, 2011",2.40,Oscar Roth Andersen,Denmark,Fredericia Open 2011
Pyraminx,"Oct 01, 2010",2.65,Brúnó Bereczki,Hungary,European Rubik's Cube Championship 2010
Pyraminx,"Feb 24, 2008",2.83,Tomasz Kiedrowicz,Poland,Gdansk Open 2008
Pyraminx,"Sep 16, 2006",4.18,Piotr Kózka,Poland,Polish Open 2006
Pyraminx,"Sep 16, 2006",6.36,Piotr Kózka,Poland,Polish Open 2006
Pyraminx,"Sep 10, 2005",6.55,Gunnar Krig,Sweden,Swedish Open 2005
Pyraminx,"Mar 27, 2005",13.96,Gunnar Krig,Sweden,SveKub Annual Meeting competition 2005
Pyraminx,"Aug 23, 2003",14.09,Andy Bellenir,United States,World Rubik's Games Championship 2003
Skewb,"Jul 11, 2019",0.93,Andrew Huang,Australia,WCA World Championship 2019
Skewb,"Oct 17, 2015",1.10,Jonatan Kłosko,Poland,ŚLS Wodzisław Śląski 2015
Skewb,"Sep 26, 2015",1.67,Michał Rzewuski,Poland,Masovian Open 2015
Skewb,"Jul 17, 2015",1.68,Jan Bentlage,Germany,World Rubik's Cube Championship 2015
Skewb,"Jul 11, 2015",1.69,Lee Chiang (蔣礪),Taiwan,Taiwan Open 2015
Skewb,"Dec 06, 2014",1.81,Jonatan Kłosko,Poland,Santa Claus Cube Race 2014
Skewb,"Jul 26, 2014",2.19,Jonatan Kłosko,Poland,Kielce Cube Attack 2014
Skewb,"Feb 09, 2014",2.19,Brandon Harnish,United States,Bay Area Speedcubin' 2 2014
Skewb,"Feb 08, 2014",3.21,Mharr Justhinne Ampong,Philippines,Pangasinan Northern Express Open 2014
Skewb,"Jan 11, 2014",4.27,Jayden McNeill,Australia,Lifestyle Seasons Summer 2014
Skewb,"Jan 04, 2014",4.63,Walker Welch,United States,Houston Winter Open 2014
Skewb,"Jan 01, 2014",9.21,Santosh Tantravahi,India,Telesis Open 2014
Square-1,"Sep 04, 2020",4.59,Martin Vædele Egdal,Denmark,Danish Championship 2020
Square-1,"May 25, 2019",4.95,Jackey Zheng,United States,Brooklyn 2019
Square-1,"May 03, 2019",4.98,Tijmen van der Ree,Netherlands,Mental Breakdown Capelle 2019
Square-1,"Oct 20, 2018",5.00,Vicenzo Guerino Cecchini,Brazil,Schoolmark Open 2018
Square-1,"Jul 27, 2018",5.49,Daniel Karnaukh,United States,CubingUSA Nationals 2018
Square-1,"Mar 31, 2018",5.66,Rasmus Stub Detlefsen,Denmark,Royal Corner Twist 2018
Square-1,"Sep 23, 2017",5.73,Charlie Stark,United Kingdom,Guildford Open 2017
Square-1,"May 06, 2017",5.88,Nathan Dwyer,United States,Buzzer Beater 2017
Square-1,"Apr 29, 2017",6.67,Helmer Ewert,Sweden,Swedish Decathlon Challenge 2017
Square-1,"Jun 25, 2016",6.84,Tommy Szeliga,United States,Indiana 2016
Square-1,"May 18, 2014",6.96,Bingliang Li (李炳良),China,Guangzhou Wushan Open 2014
Square-1,"Nov 02, 2013",7.41,Andrea Santambrogio,Italy,Legnano Open 2013
Square-1,"Oct 03, 2010",8.65,Bingliang Li (李炳良),China,Guangdong Open 2010
Square-1,"Aug 28, 2010",9.93,Piotr Michał Padlewski,Poland,Polish Nationals 2010
Square-1,"Aug 06, 2010",10.90,Andrew Nelson,United States,United States Rubik's Cube Championships 2010
Square-1,"Mar 27, 2010",10.93,Simon Crawford,United Kingdom,Bristol Spring 2010
Square-1,"Oct 09, 2009",10.96,Piotr Michał Padlewski,Poland,World Rubik's Cube Championship 2009
Square-1,"Aug 16, 2009",12.05,Jianwei Zhu (朱剑伟),China,Beijing Summer Open 2009
Square-1,"Jul 17, 2009",12.50,Piotr Michał Padlewski,Poland,Czech Open 2009
Square-1,"Oct 25, 2008",13.55,Grzegorz Prusak,Poland,Poznan Open 2008
Square-1,"Sep 15, 2007",13.56,Grzegorz Prusak,Poland,Polish Open 2007
Square-1,"Jul 08, 2007",16.45,Grzegorz Prusak,Poland,Wroclaw Open 2007
Square-1,"Feb 24, 2007",19.46,Lars Vandenbergh,Belgium,Belgian Open 2007
Square-1,"Oct 14, 2006",23.65,Michael Fung,Netherlands,Dutch Open 2006
Square-1,"May 06, 2006",25.04,Lars Vandenbergh,Belgium,Belgian Open 2006
Square-1,"Oct 10, 2004",25.29,Lars Vandenbergh,Belgium,Dutch Open 2004
Square-1,"Oct 10, 2004",32.62,Mike Godfrey,United Kingdom,Dutch Open 2004
Square-1,"Aug 23, 2003",41.80,Lars Vandenbergh,Belgium,World Rubik's Games Championship 2003
4x4 Blindfolded,"Dec 15, 2019",1:02.51,Stanley Chapel,United States,Michigan Cubing Club Epsilon 2019
4x4 Blindfolded,"Nov 08, 2019",1:06.23,Stanley Chapel,United States,OSU Blind Weekend 2019
4x4 Blindfolded,"Aug 01, 2019",1:06.84,Stanley Chapel,United States,CubingUSA Nationals 2019
4x4 Blindfolded,"Jul 11, 2019",1:08.07,Stanley Chapel,United States,WCA World Championship 2019
4x4 Blindfolded,"Apr 27, 2019",1:10.68,Stanley Chapel,United States,Mental Breakdown Washington 2019
4x4 Blindfolded,"Apr 27, 2019",1:19.20,Stanley Chapel,United States,Mental Breakdown Washington 2019
4x4 Blindfolded,"Jun 30, 2018",1:26.41,Kaijun Lin (林恺俊),China,Please Be Quiet Beijing 2018
4x4 Blindfolded,"May 18, 2018",1:29.42,Stanley Chapel,United States,CubingUSA Great Lakes Championship 2018
4x4 Blindfolded,"Jul 28, 2017",1:34.66,Kaijun Lin (林恺俊),China,China Championship 2017
4x4 Blindfolded,"Dec 11, 2016",1:41.90,Kaijun Lin (林恺俊),China,Big 'n Blind 2016
4x4 Blindfolded,"Nov 05, 2016",2:02.49,Kaijun Lin (林恺俊),China,Shanghai Winter is Coming 2016
4x4 Blindfolded,"Jul 04, 2015",2:02.75,Oliver Frost,United Kingdom,Irish Championship 2015
4x4 Blindfolded,"Mar 21, 2015",2:10.47,Oliver Frost,United Kingdom,Edinburgh Spring 2015
4x4 Blindfolded,"Oct 11, 2014",2:18.65,Oliver Frost,United Kingdom,Cuthberts Open 2014
4x4 Blindfolded,"Aug 23, 2014",2:25.27,Oliver Frost,United Kingdom,ABHC 2014
4x4 Blindfolded,"May 17, 2014",2:30.47,Oliver Frost,United Kingdom,Oxford Open 2014
4x4 Blindfolded,"Apr 20, 2013",2:30.62,Marcell Endrey,Hungary,Slovenian Open 2013
4x4 Blindfolded,"Jul 13, 2012",2:48.88,Marcell Endrey,Hungary,Czech Open 2012
4x4 Blindfolded,"Feb 11, 2012",3:17.41,Daniel Sheppard,United Kingdom,Irish Open 2012
4x4 Blindfolded,"Jul 30, 2011",3:26.11,Daniel Sheppard,United Kingdom,Guildford Summer Open 2011
4x4 Blindfolded,"Jan 29, 2011",3:37.80,Feliks Zemdegs,Australia,Melbourne Summer Open 2011
4x4 Blindfolded,"Jan 16, 2010",4:42.34,Ville Seppänen,Finland,Aachen Open 2010
4x4 Blindfolded,"Mar 21, 2009",4:46.19,Chris Hardwick,United States,Chattahoochee Spring competition 2009
4x4 Blindfolded,"Dec 06, 2008",6:05.21,Ville Seppänen,Finland,Swedish Cube Day competition 2008
4x4 Blindfolded,"Nov 24, 2007",6:20.96,Chris Hardwick,United States,Virginia Open 2007
4x4 Blindfolded,"Oct 21, 2006",8:04.90,Chris Hardwick,United States,G-Wiz Fall competition 2006
4x4 Blindfolded,"Aug 04, 2006",12:12.00,Chris Hardwick,United States,US Nationals 2006
4x4 Blindfolded,"Aug 07, 2004",19:14.00,Dror Vomberg,Israel,European Rubik's Games Championship 2004
4x4 Blindfolded,"Aug 23, 2003",22:35.00,Dror Vomberg,Israel,World Rubik's Games Championship 2003
5x5 Blindfolded,"Dec 15, 2019",2:21.62,Stanley Chapel,United States,Michigan Cubing Club Epsilon 2019
5x5 Blindfolded,"Jul 11, 2019",2:38.77,Stanley Chapel,United States,WCA World Championship 2019
5x5 Blindfolded,"Jun 22, 2019",2:48.19,Stanley Chapel,United States,Bulldog Qualifier 2019
5x5 Blindfolded,"Mar 08, 2019",2:49.42,Stanley Chapel,United States,CubingUSA Oregon Championship 2019
5x5 Blindfolded,"Dec 01, 2018",3:01.01,Stanley Chapel,United States,Shaker Fall 2018
5x5 Blindfolded,"Oct 20, 2018",3:34.41,Stanley Chapel,United States,Flag City Fall 2018
5x5 Blindfolded,"Oct 06, 2018",3:40.84,Stanley Chapel,United States,OSU Blind Weekend 2018
5x5 Blindfolded,"Jul 27, 2018",3:45.42,Stanley Chapel,United States,CubingUSA Nationals 2018
5x5 Blindfolded,"Feb 24, 2018",3:46.56,Kaijun Lin (林恺俊),China,Singapore Cube Championship 2018
5x5 Blindfolded,"Jun 24, 2017",3:47.50,Kaijun Lin (林恺俊),China,Beijing Open 2017
5x5 Blindfolded,"Apr 15, 2017",4:10.00,Kaijun Lin (林恺俊),China,Nanchang Spring 2017
5x5 Blindfolded,"Apr 02, 2017",4:11.93,Kaijun Lin (林恺俊),China,Xi'an Cherry Blossom 2017
5x5 Blindfolded,"Nov 25, 2016",4:42.06,Roman Strakhov,Russia,Finnish Championship 2016
5x5 Blindfolded,"Nov 05, 2016",4:46.74,Kaijun Lin (林恺俊),China,Shanghai Winter is Coming 2016
5x5 Blindfolded,"Sep 03, 2016",4:55.63,Roman Strakhov,Russia,SPB Championship 2016
5x5 Blindfolded,"Aug 27, 2016",5:01.40,Roman Strakhov,Russia,PSU Open 2016
5x5 Blindfolded,"Mar 26, 2016",5:01.85,Roman Strakhov,Russia,VSU Open 2016
5x5 Blindfolded,"Nov 27, 2015",5:04.81,Roman Strakhov,Russia,MPEI Open 2015
5x5 Blindfolded,"Aug 28, 2015",5:18.65,Roman Strakhov,Russia,CCC End of Summer 2015
5x5 Blindfolded,"Apr 11, 2015",5:35.84,Oliver Frost,United Kingdom,Welcome Back to Guildford 2015
5x5 Blindfolded,"Aug 23, 2014",5:39.10,Grzegorz Jałocha,Poland,Bydgoszcz Summer 2014
5x5 Blindfolded,"Jul 12, 2014",5:56.56,Oliver Frost,United Kingdom,Welcome To Cambridge 2014
5x5 Blindfolded,"Jul 26, 2013",6:06.41,Marcell Endrey,Hungary,World Rubik's Cube Championship 2013
5x5 Blindfolded,"Jul 12, 2013",6:26.86,Marcell Endrey,Hungary,Czech Open 2013
5x5 Blindfolded,"May 04, 2013",6:34.83,Marcell Endrey,Hungary,Austrian Open 2013
5x5 Blindfolded,"Apr 28, 2012",6:44.77,Marcell Endrey,Hungary,Zune Open 2012
5x5 Blindfolded,"Apr 14, 2012",7:05.68,Daniel Sheppard,United Kingdom,Rapid Dash Open 2012
5x5 Blindfolded,"Mar 31, 2012",7:59.16,Marcell Endrey,Hungary,Austrian Open 2012
5x5 Blindfolded,"May 21, 2011",9:48.58,Ville Seppänen,Finland,Kirkkonummi Open 2011
5x5 Blindfolded,"Jan 22, 2011",10:03.00,Ville Seppänen,Finland,Helsinki Open 2011
5x5 Blindfolded,"Aug 28, 2010",10:25.00,Ville Seppänen,Finland,Finnish Open 2010
5x5 Blindfolded,"Jul 17, 2010",14:42.00,Chester Lian,Malaysia,Cat and Mouse 2010
5x5 Blindfolded,"May 17, 2008",15:22.00,Chris Hardwick,United States,Washington DC Open 2008
5x5 Blindfolded,"Mar 29, 2008",17:22.00,Chris Hardwick,United States,Chattahoochee Spring competition 2008
5x5 Blindfolded,"Mar 24, 2007",19:55.00,Chris Hardwick,United States,Chattahoochee Spring competition 2007
5x5 Blindfolded,"Oct 21, 2006",26:19.00,Chris Hardwick,United States,G-Wiz Fall competition 2006
5x5 Blindfolded,"Aug 04, 2006",28:28.00,Chris Hardwick,United States,US Nationals 2006
5x5 Blindfolded,"Mar 11, 2006",55:21.00,Chris Hardwick,United States,Chattahoochee Spring competition 2006
5x5 Blindfolded,"Aug 07, 2004",2:34:36.00,Stefan Pochmann,Germany,European Rubik's Games Championship 2004
3x3 Multi-Blind,"Nov 08, 2019",59/60 59:46,Graham Siggins,United States,OSU Blind Weekend 2019
3x3 Multi-Blind,"Oct 13, 2019",53/57 58:31,Graham Siggins,United States,345 Cube Day Allen 2019
3x3 Multi-Blind,"May 26, 2019",50/52 56:32,Graham Siggins,United States,Silence in the Grove 2019
3x3 Multi-Blind,"Jul 22, 2018",48/48 59:48,Shivam Bansal,India,Delhi Monsoon Open 2018
3x3 Multi-Blind,"Mar 24, 2018",43/44 1:00:00,Mark Boyanowski,United States,Keep Portland Quiet 2018
3x3 Multi-Blind,"Nov 16, 2013",41/41 54:14,Marcin Kowalczyk,Poland,SLS Swierklany 2013
3x3 Multi-Blind,"Sep 28, 2013",35/35 55:00,Marcin Kowalczyk,Poland,SLS Jastrzebie 2013
3x3 Multi-Blind,"Sep 14, 2013",32/32 55:36,Marcin Kowalczyk,Poland,Grudziadz Open 2013
3x3 Multi-Blind,"Jun 29, 2013",35/41 52:09,Marcin Kowalczyk,Poland,Polish Nationals 2013
3x3 Multi-Blind,"Apr 20, 2013",33/37 54:21,Marcin Kowalczyk,Poland,Polish Open 2013
3x3 Multi-Blind,"Mar 09, 2013",32/37 57:39,Marcin Kowalczyk,Poland,Rybnik Open 2013
3x3 Multi-Blind,"Aug 04, 2012",26/29 53:01,Marcin Kowalczyk,Poland,Polish Nationals 2012
3x3 Multi-Blind,"Jun 30, 2012",23/25 53:34,Marcin Kowalczyk,Poland,Silesia Open 2012
3x3 Multi-Blind,"Nov 26, 2011",23/25 57:48,Zane Carney,Australia,Melbourne Cube Day 2011
3x3 Multi-Blind,"Oct 14, 2011",19/19 53:48,Marcell Endrey,Hungary,World Rubik's Cube Championship 2011
3x3 Multi-Blind,"Jun 18, 2011",17/17 53:09,Chester Lian,Malaysia,Ohio Open 2011
3x3 Multi-Blind,"Jan 30, 2010",16/16 56:54,Muhammad Iril Khairul Anam,Indonesia,Jakarta Open 2010
3x3 Multi-Blind,"Aug 16, 2009",15/15 52:01,Tong Jiang (蒋彤),China,Beijing Summer Open 2009
3x3 Multi-Blind,"Apr 25, 2009",10/10 42:06,Kai Jiptner,Germany,German Open 2009
3x3 Multi-Blind,"Oct 11, 2008",10/10 44:09,Dennis Strehlau,Germany,Danish Cube Day 2008
3x3 Multi-Blind,"Aug 23, 2008",8/8 57:55,Dennis Strehlau,Germany,Dutch Masters 2008
3x3 Multi-Blind,"Oct 05, 2007",6/6 47:58,Rafał Guzewicz,Poland,World Rubik's Cube Championship 2007
3x3 Multi-Blind,"Aug 25, 2007",4/4 38:12,Milán Baticz,Hungary,Swedish Open 2007
3x3 Multi-Blind,"Feb 24, 2007",4/5 48:25,Clément Gallet,France,Belgian Open 2007
3x3 With Feet,"Dec 27, 2019",15.56,Mohammed Aiman Koli,India,VJTI Mumbai Cube Open 2019
3x3 With Feet,"Mar 09, 2018",16.96,Daniel Rose-Levine,United States,CubingUSA Heartland Championship 2018
3x3 With Feet,"Jun 27, 2015",20.57,Jakub Kipa,Poland,Radomsko Cube Theory 2015
3x3 With Feet,"Aug 16, 2014",25.14,Gabriel Pereira Campanha,Brazil,Nova Odessa Open 2014
3x3 With Feet,"Apr 05, 2014",27.17,Gabriel Pereira Campanha,Brazil,SESC Santo Amaro 2014
3x3 With Feet,"Mar 21, 2014",27.66,Yuhei Takagi (高木佑平),Japan,Kansai Open 2014
3x3 With Feet,"Jul 14, 2012",27.93,Fakhri Raihaan,Indonesia,Celebes Cube Competition 2012
3x3 With Feet,"May 26, 2012",29.77,Henrik Buus Aagaard,Denmark,Ballerup Open 2012
3x3 With Feet,"Jan 22, 2011",31.56,Anssi Vanhala,Finland,Helsinki Open 2011
3x3 With Feet,"Nov 07, 2009",36.72,Anssi Vanhala,Finland,Estonian Open 2009
3x3 With Feet,"Aug 15, 2008",36.94,Chang Jee-Hoon,Republic of Korea,Suwon Cube Championship 2008
3x3 With Feet,"Aug 18, 2007",39.88,Anssi Vanhala,Finland,Finnish Open 2007
3x3 With Feet,"Jan 13, 2007",51.13,Anssi Vanhala,Finland,Helsinki Open 2007
3x3 With Feet,"Mar 18, 2006",1:18.15,Anssi Vanhala,Finland,SveKub Annual Meeting competition 2006
3x3 With Feet,"Nov 05, 2005",1:54.97,Oliver Wolff,Germany,Rubik's World Championship 2005
3x3 With Feet,"Sep 10, 2005",2:14.33,Kåre Krig,Sweden,Swedish Open 2005
3x3 With Feet,"Apr 16, 2005",4:06.68,Will Arnold,United States,Caltech Spring competition 2005
3x3 With Feet,"Mar 27, 2005",5:18.65,Kåre Krig,Sweden,SveKub Annual Meeting competition 2005
3x3 With Feet,"Aug 07, 2004",5:44.32,Kåre Krig,Sweden,European Rubik's Games Championship 2004
Magic,"Apr 23, 2011",0.69,Yuxuan Wang (王宇轩),China,Beijing Spring 2011
Magic,"Nov 28, 2010",0.71,Yuxuan Wang (王宇轩),China,Beijing No Cubes 2010
Magic,"Nov 21, 2010",0.72,Yuxuan Wang (王宇轩),China,Tianjin Open 2010
Magic,"May 30, 2010",0.72,Yuxuan Wang (王宇轩),China,Taiyuan 2010
Magic,"May 09, 2010",0.72,Yuxuan Wang (王宇轩),China,Alpha Cube BUAA Open 2010
Magic,"Sep 05, 2009",0.77,Oskar Åsbrink,Sweden,Swedish Open 2009
Magic,"Aug 22, 2009",0.77,Tang Yiu Chun (鄧耀俊),Hong Kong,Shenzhen Summer Open 2009
Magic,"Aug 15, 2009",0.80,Oskar Åsbrink,Sweden,Kristianstad Open 2009
Magic,"Aug 16, 2009",0.83,Yuxuan Wang (王宇轩),China,Beijing Summer Open 2009
Magic,"Mar 14, 2009",0.83,Patrick Jameson,United States,Drexel Winter 2009
Magic,"Aug 23, 2008",0.84,Olivér Perge,Hungary,Dutch Masters 2008
Magic,"Feb 02, 2008",0.86,Mátyás Kuti,Hungary,Belgian Open 2008
Magic,"Feb 24, 2007",0.86,Mátyás Kuti,Hungary,Belgian Open 2007
Magic,"Aug 04, 2006",1.07,Craig Bouchard,Canada,US Nationals 2006
Magic,"Nov 05, 2005",1.14,Quinn Lewis,United States,Rubik's World Championship 2005
Magic,"Oct 16, 2005",1.23,Stefan Pochmann,Germany,Dutch Open 2005
Magic,"Aug 13, 2005",1.28,Bob Burton,United States,Caltech Dallas Summer competition 2005
Magic,"Oct 10, 2004",1.36,Stefan Pochmann,Germany,Dutch Open 2004
Magic,"Aug 07, 2004",1.43,Stefan Pochmann,Germany,European Rubik's Games Championship 2004
Magic,"Aug 07, 2004",1.49,Stefan Pochmann,Germany,European Rubik's Games Championship 2004
Magic,"Apr 24, 2004",2.09,Jaap Scherphuis,Netherlands,German Open 2004
Magic,"Apr 24, 2004",2.22,Jaap Scherphuis,Netherlands,German Open 2004
Magic,"Aug 23, 2003",3.06,Jaap Scherphuis,Netherlands,World Rubik's Games Championship 2003
Master Magic,"Dec 23, 2012",1.66,Yuxuan Wang (王宇轩),China,Tianjin Winter 2012
Master Magic,"May 14, 2011",1.68,Ernie Pulchny,United States,Park Ridge Open 2011
Master Magic,"Mar 19, 2011",1.71,Ernie Pulchny,United States,Newark Head to Head 2011
Master Magic,"Jul 24, 2010",1.71,Yuxuan Wang (王宇轩),China,Inner Mongolia 2010
Master Magic,"Feb 02, 2008",1.72,Mátyás Kuti,Hungary,Belgian Open 2008
Master Magic,"Aug 25, 2007",1.83,Máté Horváth,Hungary,Swedish Open 2007
Master Magic,"Apr 28, 2007",1.94,Máté Horváth,Hungary,German Open 2007
Master Magic,"Feb 24, 2007",2.02,Máté Horváth,Hungary,Belgian Open 2007
Master Magic,"Sep 23, 2006",2.48,Mátyás Kuti,Hungary,European Rubik's Cube Championship 2006
Master Magic,"Aug 04, 2006",2.73,Craig Bouchard,Canada,US Nationals 2006
Master Magic,"Nov 05, 2005",2.79,Stefan Pochmann,Germany,Rubik's World Championship 2005
Master Magic,"Aug 13, 2005",3.05,Bob Burton,United States,Caltech Dallas Summer competition 2005
Master Magic,"Oct 16, 2004",5.16,Sunil Pedapudi,United States,Caltech Fall competition 2004
Master Magic,"Aug 23, 2003",8.22,Jaap Scherphuis,Netherlands,World Rubik's Games Championship 2003
3x3 Multi-Blind Old Style,"Apr 19, 2008",24/24 2:15:57,Tim Habermaas,Germany,German Open 2008
3x3 Multi-Blind Old Style,"Feb 02, 2008",10/10 1:36:39,Dennis Strehlau,Germany,Belgian Open 2008
3x3 Multi-Blind Old Style,"Oct 05, 2007",6/6 47:58,Rafał Guzewicz,Poland,World Rubik's Cube Championship 2007
3x3 Multi-Blind Old Style,"May 26, 2007",5/5 54:25,Clément Gallet,France,Italian Open 2007
3x3 Multi-Blind Old Style,"Oct 14, 2006",5/5 1:00:00,Constantin Ceausu,Romania,Dutch Open 2006
3x3 Multi-Blind Old Style,"Sep 23, 2006",5/5 1:07:15,Stefan Pochmann,Germany,European Rubik's Cube Championship 2006
